Employee_ID,First Name,Last Name,Gender,MaritalStatus,Department,Grade,Employee_Count,Job_Satisfaction,MonthlyIncome,MonthlyRate,Age,Job Type,Job Experience,Hire_Date,Company_Environment,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Country
26,Ethan,Wu,Male,Divorced,TECH,5,1,3,19094,10735,53,Contractual,24,2/24/2005,3,3,2,14,United Kingdom
27,Catherine,Myers,Male,Single,TECH,1,1,1,3919,4681,32,Contractual,24,2/25/2005,2,5,3,10,United Kingdom
28,Catherine,Nash,Female,Married,Sales,2,1,2,6825,21173,42,Contractual,24,2/26/2005,3,2,3,9,United Kingdom
29,Corey,Delgado,Male,Married,TECH,3,1,4,10248,2094,44,Contractual,24,2/27/2005,1,4,3,22,United Kingdom
30,Hunter,Hahn,Female,Single,Sales,5,1,1,18947,22822,46,Contractual,24,2/28/2005,2,2,2,2,United Kingdom
31,Dakota,Gomez,Male,Single,TECH,1,1,4,2496,6670,33,Contractual,24,3/1/2005,3,3,3,1,United Kingdom
32,Nathaniel,Clarke,Female,Married,TECH,2,1,4,6465,19121,44,Contractual,24,3/2/2005,4,5,4,4,United Kingdom
33,Marco,Reyes,Male,Single,TECH,1,1,3,2206,16117,30,Contractual,24,3/3/2005,4,5,3,10,United Kingdom
34,Todd,Weber,Male,Married,Sales,2,1,4,2086,3335,39,Contractual,24,3/4/2005,5,6,4,1,United Kingdom
35,Bryan,Vaughn,Male,Married,TECH,1,1,4,2293,3020,24,Contractual,24,3/5/2005,2,2,2,2,United Kingdom
36,Adrienne,Lambert,Male,Divorced,TECH,1,1,3,2645,21923,43,Contractual,24,3/6/2005,4,3,2,5,United Kingdom
37,Seth,Hess,Male,Married,Sales,1,1,3,2683,3810,50,Contractual,24,3/7/2005,5,2,3,3,United Kingdom
38,Stefanie,Sherman,Male,Married,Sales,1,1,4,2014,9687,35,Contractual,20,3/7/2009,4,3,3,2,United Kingdom
39,Kent,Velez,Male,Married,TECH,1,1,1,3419,13072,36,Contractual,20,3/8/2009,2,3,4,1,United Kingdom
40,Angela,Huff,Male,Married,Sales,2,1,1,5376,3193,33,Permannent,20,3/9/2009,3,3,3,5,United Kingdom
41,Harry,Moore,Female,Divorced,TECH,1,1,4,1951,10910,35,Permannent,20,3/10/2009,3,3,3,1,United Kingdom
42,Kristopher,Barnes,Male,Divorced,TECH,1,1,1,2341,19715,27,Permannent,20,3/11/2009,4,6,3,1,United Kingdom
43,Rachael,Herrera,Male,Single,TECH,1,1,3,2293,10558,,Permannent,20,3/12/2009,1,2,2,1,United Kingdom
44,Vincent,Berger,Female,Single,Sales,3,1,3,8726,2975,27,Permannent,20,3/13/2009,4,0,3,9,United Kingdom
45,Don,Bolton,Male,Single,TECH,2,1,4,4011,10781,30,Permannent,20,3/14/2009,3,2,3,12,United Kingdom
46,Olivia,Duke,Female,Married,TECH,5,1,3,19545,16280,41,Permannent,20,3/15/2009,2,0,3,22,United Kingdom
47,Erik,Rosales,Female,Single,Sales,2,1,3,4568,10034,34,Permannent,20,3/16/2009,2,2,3,9,United Kingdom
48,Judith,Wall,Female,Married,TECH,1,1,2,3022,10227,37,Permannent,20,3/17/2009,2,1,3,1,United Kingdom
49,Chloe,Ramirez,Female,Single,Sales,2,1,5,5772,20445,46,Permannent,20,3/18/2009,1,4,3,9,United Kingdom
50,George,Mercer,Female,Married,TECH,1,1,5,2269,4892,35,Permannent,20,3/19/2009,4,2,3,1,United Kingdom
51,Jo,Zavala,Male,Single,TECH,3,1,3,5381,19294,48,Permannent,20,3/20/2009,1,2,3,1,United Kingdom
52,Joshua,Carey,Female,Single,TECH,1,1,3,3441,11179,28,Permannent,20,3/21/2009,3,3,2,2,United Kingdom
53,Rickey,Hobbs,Female,Divorced,Sales,2,1,1,5454,4009,44,Permannent,20,3/22/2009,2,2,2,4,United Kingdom
54,Robyn,Reilly,Male,Married,TECH,3,1,1,9884,8302,35,Permannent,20,3/23/2009,5,3,3,4,United Kingdom
55,Christina,Conrad,Male,Married,Sales,2,1,4,4157,21436,26,Permannent,20,3/24/2009,3,2,2,2,United Kingdom
56,Shelby,Cole,Male,Single,TECH,3,1,4,13458,15146,33,Permannent,20,3/25/2009,1,1,3,15,United Kingdom
57,Steve,Donovan,Male,Married,Sales,3,1,1,9069,11031,35,Permannent,20,3/26/2009,2,3,2,9,United Kingdom
58,Gina,Little,Female,Married,TECH,1,1,1,4014,16002,35,Permannent,20,3/27/2009,3,3,3,2,United Kingdom
59,Connie,Dawson,Female,Divorced,TECH,2,1,4,5915,9528,31,Permannent,20,3/28/2009,4,3,2,7,United Kingdom
60,Aaron,Page,Male,Divorced,TECH,2,1,3,5993,2689,37,Permannent,20,3/29/2009,5,2,4,7,United Kingdom
61,Lance,Bradshaw,Male,Married,TECH,2,1,4,6162,10877,32,Permannent,20,3/30/2009,1,3,3,9,United Kingdom
62,Mary,Daniels,Male,Single,TECH,2,1,4,2406,5456,38,Permannent,20,3/31/2009,4,2,3,10,United Kingdom
63,Yesenia,Harding,Male,Divorced,TECH,5,1,3,18740,16701,50,Permannent,20,4/1/2009,2,2,2,27,United Kingdom
64,Shane,Reyes,Female,Single,Sales,3,1,1,7637,2354,59,Permannent,20,4/2/2009,1,3,2,21,United Kingdom
65,Norma,Olson,Female,Divorced,TECH,3,1,3,10096,8202,36,Permannent,20,4/3/2009,3,2,3,17,United Kingdom
66,Melinda,Haas,Male,Divorced,TECH,4,1,3,14756,19730,55,Permannent,20,4/4/2009,4,2,3,5,United Kingdom
67,Darrell,Fuller,Male,Single,TECH,2,1,2,6499,22656,36,Permannent,20,4/5/2009,2,3,3,6,United States
68,Priscilla,Valenzuela,Male,Divorced,TECH,3,1,1,9724,18787,45,Permannent,20,4/6/2009,2,2,3,1,United States
69,Karla,Steele,Female,Married,TECH,1,1,1,2194,5868,35,Permannent,20,4/7/2009,2,2,2,3,United States
70,Alexandria,Mcguire,Female,Married,TECH,1,1,3,3388,21777,36,Permannent,20,4/8/2009,4,0,2,1,United States
71,Joanna,Doyle,Male,Single,Sales,2,1,3,5473,24668,59,Permannent,20,4/9/2009,1,2,2,4,United States
72,Lydia,Neal,Female,Married,TECH,1,1,2,2703,4956,29,Permannent,20,4/10/2009,3,3,3,5,United States
73,Darryl,Meyer,Male,Single,TECH,1,1,2,2501,18775,31,Permannent,20,4/11/2009,3,4,3,1,United States
74,Alice,Harding,Male,Married,TECH,2,1,2,6220,7346,32,Permannent,20,4/12/2009,2,3,3,10,United States
75,Seth,Pratt,Male,Married,TECH,1,1,4,3038,22002,36,Permannent,20,4/13/2009,2,3,3,1,United States
76,Amy,Payne,Male,Single,TECH,2,1,4,4424,20682,,Permannent,20,4/14/2009,3,2,3,11,United States
77,Vickie,Mccoy,Male,Single,Sales,2,1,1,4312,23016,35,Permannent,20,4/15/2009,3,2,3,15,United States
78,Hector,Sparks,Female,Married,TECH,3,1,1,13245,15067,45,Permannent,20,4/16/2009,4,3,4,0,United States
79,Colin,Conley,Female,Single,TECH,3,1,3,13664,25258,37,Permannent,20,4/17/2009,1,3,4,5,United States
80,Joshua,Grant,Male,Divorced,Human Resources,2,1,2,5021,10425,46,Permannent,20,4/18/2009,2,2,3,4,United States
81,Yesenia,Key,Male,Married,TECH,2,1,4,5126,15998,30,Permannent,20,4/19/2009,4,1,2,10,United States
82,Meghan,Humphrey,Female,Single,TECH,1,1,3,2859,26278,35,Permannent,20,4/20/2009,2,3,3,6,United States
83,Eddie,Daniels,Male,Married,Sales,3,1,4,10239,18092,55,Permannent,20,4/21/2009,1,4,3,1,United States
84,Joyce,Abbott,Female,Divorced,TECH,2,1,4,5329,15717,38,Permannent,20,4/22/2009,2,3,3,13,United States
85,Isaiah,Olson,Female,Married,TECH,2,1,2,4325,17736,34,Permannent,20,4/23/2009,1,2,3,5,United States
86,Curtis,Haney,Male,Single,TECH,3,1,4,7260,21698,56,Permannent,20,4/24/2009,4,3,2,6,United States
87,Devon,Henry,Female,Divorced,Sales,1,1,1,2322,9518,23,Permannent,20,4/25/2009,3,3,3,0,United States
88,Jordan,Long,Male,Married,TECH,1,1,4,2075,18725,51,Permannent,20,4/26/2009,4,4,3,4,United States
89,Tom,Mccarty,Female,Married,TECH,2,1,4,4152,15830,30,Permannent,20,4/27/2009,3,3,3,11,United States
90,Bethany,Davila,Female,Single,Sales,3,1,4,9619,13596,46,Permannent,20,4/28/2009,3,3,3,9,United States
91,Ariel,Blankenship,Female,Married,TECH,4,1,2,13503,14115,40,Permannent,20,4/29/2009,3,3,2,22,United States
92,Jaclyn,Mclean,Male,Single,Sales,2,1,4,5441,8423,51,Permannent,20,4/30/2009,3,2,1,10,United States
93,Stephanie,Donovan,Male,Divorced,Sales,2,1,2,5209,19760,30,Permannent,20,5/1/2009,3,4,2,11,United States
94,Carly,Brooks,Female,Married,TECH,3,1,1,10673,3142,46,Permannent,20,5/2/2009,3,5,2,10,United States
95,Dominique,Stevenson,Male,Single,Sales,2,1,3,5010,24301,32,Permannent,20,5/3/2009,2,0,3,11,United States
96,Doris,Holmes,Female,Married,TECH,3,1,3,13549,24001,54,Permannent,20,5/4/2009,1,5,1,4,United States
97,Joe,Acevedo,Male,Married,Sales,2,1,3,4999,17519,24,Permannent,20,5/5/2009,1,2,2,3,United States
98,Tony,Melendez,Male,Married,Sales,2,1,3,4221,8863,28,Permannent,20,5/6/2009,2,3,4,5,United States
99,Lydia,Vargas,Male,Single,Sales,4,1,3,13872,24409,58,Permannent,20,5/7/2009,4,1,2,37,United States
100,Matthew,Yoder,Female,Married,TECH,2,1,2,2042,25043,44,Permannent,20,5/8/2009,2,3,4,3,United States
101,Laura,Bishop,Male,Divorced,Human Resources,1,1,1,2073,23648,37,Permannent,20,5/9/2009,3,3,3,3,United States
102,Vernon,Terry,Male,Single,TECH,1,1,1,2956,15178,32,Permannent,20,5/10/2009,4,2,3,1,United States
103,Roberta,Hodge,Male,Single,TECH,1,1,4,2926,19783,20,Permannent,20,5/11/2009,4,5,3,1,United States
104,Janet,Heath,Female,Single,TECH,2,1,3,4809,12482,34,Permannent,20,5/12/2009,1,3,3,16,United States
105,Taylor,Paul,Male,Divorced,TECH,2,1,4,5163,15850,37,Permannent,20,5/13/2009,3,2,4,1,United States
106,Ariana,Potter,Male,Married,Human Resources,5,1,4,18844,21922,59,Permannent,20,5/14/2009,3,3,3,3,United States
107,Dave,Myers,Female,Married,TECH,5,1,2,18172,9755,50,Permannent,20,5/15/2009,1,1,2,8,United States
108,Beth,Harrington,Male,Single,Sales,2,1,3,5744,26959,,Permannent,20,5/16/2009,3,1,3,6,United States
109,Diamond,Spence,Male,Married,TECH,1,1,4,2889,26897,25,Permannent,20,5/17/2009,4,2,3,2,United States
110,Timothy,Weeks,Male,Single,TECH,1,1,4,2871,23785,22,Permannent,20,5/18/2009,2,5,3,0,United States
111,Victor,Castro,Female,Single,TECH,3,1,1,7484,25796,51,Permannent,20,5/19/2009,1,1,2,13,United States
112,Samantha,Harris,Male,Single,TECH,2,1,3,6074,22887,34,Permannent,20,5/20/2009,1,3,3,9,United States
113,Priscilla,Bean,Male,Single,Human Resources,4,1,4,17328,13871,54,Permannent,20,5/21/2009,4,3,3,5,United States
114,Erica,Atkins,Female,Married,TECH,1,1,3,2774,13257,24,Permannent,20,5/22/2009,2,2,3,5,United States
115,Tonya,Blankenship,Female,Divorced,TECH,2,1,2,4505,15000,34,Permannent,20,5/23/2009,3,3,3,1,United States
116,Diane,Small,Female,Single,Sales,3,1,4,7428,14506,37,Permannent,20,5/24/2009,3,3,3,5,United States
117,Karl,Floyd,Male,Single,TECH,3,1,1,11631,5615,34,Permannent,20,5/25/2009,3,6,3,11,United States
118,Dana,Higgins,Female,Married,Sales,3,1,4,9738,22952,36,Permannent,20,5/26/2009,2,6,3,9,United States
119,Neil,Sawyer,Male,Divorced,TECH,1,1,4,2835,2561,36,Permannent,20,5/27/2009,1,2,3,1,United States
120,Julia,Acosta,Male,Married,Sales,4,1,4,16959,19494,43,Permannent,20,5/28/2009,3,3,4,25,United States
121,Brandy,Carpenter,Male,Divorced,TECH,1,1,3,2613,22310,30,Permannent,20,5/29/2009,1,2,2,10,United States
122,Darren,Manning,Female,Married,Sales,2,1,2,6146,15480,33,Permannent,20,5/30/2009,3,2,4,7,United States
123,Roger,Beasley,Male,Married,TECH,1,1,2,4963,4510,56,Permannent,20,5/31/2009,2,2,3,5,United States
124,Albert,Tyler,Male,Single,TECH,5,1,3,19537,6462,51,Permannent,20,6/1/2009,1,5,3,20,United States
125,Tracie,Mooney,Female,Married,Sales,2,1,3,6172,20739,31,Permannent,20,6/2/2009,2,3,2,7,United States
126,Tim,Ponce,Female,Married,TECH,1,1,2,2368,23300,26,Permannent,20,6/3/2009,3,3,2,5,United States
127,Margaret,Carr,Male,Married,TECH,3,1,4,10312,3465,58,Permannent,20,6/4/2009,4,3,2,40,United States
128,Autumn,Davis,Female,Single,Sales,1,1,3,1675,26820,19,Permannent,20,6/5/2009,4,2,2,0,United States
129,Christina,Hendrix,Female,Married,TECH,1,1,4,2523,19299,22,Permannent,20,6/6/2009,3,2,3,2,United States
130,Andrew,Holden,Male,Married,TECH,2,1,1,6567,5549,49,Permannent,20,6/7/2009,3,2,2,15,United States
131,April,Hebert,Male,Single,TECH,1,1,3,4739,16090,43,Permannent,20,6/8/2009,2,2,3,3,United States
132,Peter,Long,Male,Single,Sales,3,1,4,9208,6645,50,Permannent,20,6/9/2009,3,3,3,2,United States
133,Christina,Carter,Female,Married,Sales,2,1,3,4559,24788,31,Permannent,19,6/10/2009,2,2,3,2,United States
134,David,Faulkner,Female,Divorced,Sales,3,1,3,8189,21196,41,Permannent,19,6/11/2009,3,2,3,9,United States
135,Willie,Arellano,Female,Married,Human Resources,1,1,3,2942,8916,26,Permannent,19,6/12/2009,3,3,3,8,United States
136,Traci,Sosa,Male,Divorced,TECH,2,1,2,4941,2819,36,Permannent,19,6/13/2009,2,0,3,3,United States
137,Alexandria,Burgess,Male,Single,TECH,3,1,4,10650,25150,51,Permannent,19,6/14/2009,1,2,3,4,United States
138,Manuel,Castro,Male,Married,Sales,2,1,3,5902,14590,39,Permannent,19,6/15/2009,4,1,4,15,United States
139,Nathan,Glenn,Male,Married,Sales,2,1,3,8639,24835,25,Permannent,19,6/16/2009,1,3,3,2,United States
140,Hailey,Aguirre,Male,Married,Human Resources,2,1,4,6347,13982,30,Permannent,19,6/17/2009,3,2,1,11,United States
141,Arthur,Lyons,Female,Single,TECH,1,1,1,4200,10224,,Permannent,19,6/18/2009,1,2,4,5,United States
142,Alexa,Washington,Female,Single,TECH,1,1,4,3452,9752,45,Permannent,19,6/19/2009,3,2,2,6,United States
143,Jorge,Wells,Female,Single,TECH,2,1,3,4317,2302,38,Permannent,19,6/20/2009,4,2,3,3,United States
144,Oscar,Camacho,Female,Single,TECH,1,1,3,2632,23910,30,Permannent,19,6/21/2009,1,4,2,5,United States
145,Derrick,Cook,Male,Divorced,Sales,2,1,4,4668,22812,32,Permannent,17,6/22/2009,4,2,4,8,United States
146,Teresa,Page,Male,Divorced,TECH,1,1,1,3204,10415,30,Permannent,14,6/23/2009,4,3,3,3,United States
147,Randy,Tanner,Female,Single,TECH,1,1,4,2720,11162,30,Permannent,14,6/24/2009,2,3,3,5,United States
148,Joann,Fuller,Male,Divorced,TECH,4,1,1,17181,12888,41,Permannent,14,6/25/2009,4,2,2,7,United States
149,Christopher,Braun,Female,Married,TECH,1,1,1,2238,6961,41,Permannent,14,6/26/2009,3,2,3,5,Australia
150,Malik,Summers,Male,Single,TECH,1,1,2,1483,16102,19,Permannent,14,6/27/2009,2,3,3,1,Australia
151,Kristi,Sims,Female,Divorced,TECH,2,1,2,5605,8504,40,Permannent,14,6/28/2009,2,2,3,20,Australia
152,Mariah,Huang,Female,Married,Sales,3,1,2,7295,11439,35,Permannent,14,6/29/2009,3,3,3,10,Australia
153,Monique,Mahoney,Female,Married,Sales,2,1,3,2306,16047,53,Permannent,14,6/30/2009,2,3,1,7,Australia
154,Stacie,Cardenas,Female,Divorced,TECH,2,1,2,2348,10901,45,Permannent,14,7/1/2009,2,2,1,17,Australia
155,Shannon,Cochran,Female,Single,Sales,3,1,4,8998,15589,32,Permannent,14,7/2/2009,2,2,3,9,Australia
156,Peggy,Odom,Male,Married,TECH,2,1,3,4319,26283,29,Permannent,14,7/3/2009,4,1,3,10,Australia
157,Anthony,Briggs,Female,Married,TECH,2,1,3,6132,13983,51,Permannent,14,7/4/2009,2,2,3,1,Australia
158,Perry,Levine,Male,Married,TECH,1,1,2,3346,11873,58,Permannent,14,7/5/2009,2,3,2,1,Australia
159,Denise,Hahn,Male,Married,Sales,3,1,4,10855,8552,40,Permannent,14,7/6/2009,3,2,2,12,Australia
160,Thomas,Bruce,Female,Married,Sales,1,1,3,2231,11314,34,Permannent,14,7/7/2009,3,3,3,4,Australia
161,Robyn,Paul,Male,Married,TECH,1,1,4,2323,11992,22,Permannent,14,7/8/2009,3,6,3,2,Australia
162,Miguel,Leblanc,Female,Divorced,TECH,1,1,2,2024,5970,27,Permannent,14,7/9/2009,4,1,1,2,Australia
163,Laura,Rice,Male,Married,TECH,1,1,4,2713,6672,28,Permannent,14,7/10/2009,3,2,1,5,Australia
164,Madeline,Leach,Male,Divorced,TECH,3,1,4,9439,23402,57,Permannent,14,7/11/2009,3,2,1,5,Australia
165,Christopher,Nixon,Male,Divorced,TECH,1,1,3,2566,25326,27,Permannent,14,7/12/2009,3,2,2,1,Australia
166,Mackenzie,Cantrell,Male,Single,TECH,5,1,2,19926,17053,50,Permannent,14,7/13/2009,3,5,3,5,Australia
167,Phyllis,Sanchez,Male,Divorced,TECH,1,1,3,2451,4609,41,Permannent,14,7/14/2009,1,2,3,9,Australia
168,Jesus,Sosa,Female,Married,Sales,3,1,4,9419,8053,,Permannent,14,7/15/2009,2,2,3,10,Australia
169,Maurice,Hodge,Female,Single,Sales,2,1,4,8686,12930,38,Permannent,14,7/16/2009,1,2,4,8,Australia
170,Brittney,Stafford,Male,Single,TECH,1,1,3,3038,12430,32,Permannent,14,7/17/2009,3,2,3,5,Australia
171,Dalton,Butler,Female,Married,TECH,1,1,2,3058,13364,27,Permannent,14,7/18/2009,3,3,2,5,Australia
172,Russell,Zamora,Female,Single,Sales,1,1,1,2325,20989,19,Permannent,14,7/19/2009,3,5,4,0,Australia
173,Alex,Stewart,Male,Single,TECH,1,1,2,2088,15062,36,Permannent,14,7/20/2009,4,3,2,8,Australia
174,Jenny,Nash,Female,Divorced,TECH,2,1,1,3072,11012,30,Permannent,14,7/21/2009,3,4,3,12,Australia
175,Daryl,Koch,Female,Divorced,Sales,2,1,1,5006,6319,45,Permannent,14,7/22/2009,3,3,4,5,Australia
176,Jake,Tate,Male,Divorced,TECH,1,1,1,4257,13939,56,Permannent,14,7/23/2009,3,3,3,2,Australia
177,Luke,Fletcher,Female,Single,TECH,1,1,4,2500,10515,33,Permannent,14,7/24/2009,3,2,4,3,Australia
177,Luke,Fletcher,Female,Single,TECH,1,1,4,2500,10515,33,Permannent,14,7/24/2009,3,2,4,3,Australia
177,Luke,Fletcher,Female,Single,TECH,1,1,4,2500,10515,33,Permannent,14,7/24/2009,3,2,4,3,Australia
177,Luke,Fletcher,Female,Single,TECH,1,1,4,2500,10515,33,Permannent,14,7/24/2009,3,2,4,3,Australia
178,Earl,Yates,Male,Single,TECH,1,1,4,1102,9241,19,Permannent,14,7/25/2009,2,3,2,1,Australia
179,Brittany,James,Male,Divorced,Sales,3,1,1,10453,2137,46,Permannent,14,7/26/2009,2,2,3,24,Australia
180,Wanda,Alvarado,Female,Single,TECH,1,1,4,2288,6319,38,Permannent,14,7/27/2009,3,3,3,2,Australia
181,Mckenzie,Beltran,Male,Married,TECH,1,1,4,3929,6984,31,Permannent,14,7/28/2009,3,0,3,4,Australia
182,Ernest,Camacho,Female,Single,TECH,1,1,2,2311,5711,34,Permannent,14,7/29/2009,4,3,3,3,Australia
183,Haley,Hays,Female,Single,Sales,1,1,2,3140,21728,41,Permannent,14,7/30/2009,2,5,2,4,Australia
184,Dalton,Chaney,Female,Married,TECH,1,1,3,3690,3425,50,Permannent,14,7/31/2009,3,2,2,3,Australia
185,Drew,Sanchez,Male,Divorced,TECH,2,1,1,4450,26250,53,Permannent,14,8/1/2009,4,3,3,4,Australia
186,Bradley,Copeland,Female,Married,TECH,1,1,2,2756,4673,33,Permannent,14,8/2/2009,4,5,3,8,Australia
187,Alan,Randall,Male,Married,TECH,5,1,3,19033,6499,40,Permannent,14,8/3/2009,4,2,3,20,Australia
188,Angelica,Hull,Male,Single,TECH,5,1,2,18722,13339,55,Permannent,14,8/4/2009,3,3,3,24,Australia
189,Daryl,Newman,Female,Married,TECH,2,1,3,9547,14074,34,Permannent,14,8/5/2009,4,2,2,10,Australia
190,Tristan,Morton,Female,Single,TECH,4,1,2,13734,7192,51,Permannent,14,8/6/2009,4,6,3,7,Australia
191,Tami,Compton,Male,Married,TECH,5,1,3,19999,5678,52,Permannent,14,8/7/2009,3,5,3,33,Australia
192,Grant,Esparza,Female,Single,TECH,1,1,2,2279,11781,27,Permannent,14,8/8/2009,4,2,2,7,Australia
193,Sherri,Williams,Male,Married,TECH,2,1,3,5916,15497,35,Permannent,14,8/9/2009,2,1,3,1,Australia
194,Barbara,Bowers,Male,Divorced,TECH,1,1,4,2089,5228,43,Permannent,14,8/10/2009,4,3,4,5,Australia
195,Sherry,Maldonado,Male,Married,TECH,4,1,4,16792,20462,,Permannent,14,8/11/2009,1,1,3,20,Australia
196,Francisco,Flowers,Female,Married,TECH,1,1,1,3564,22977,37,Permannent,14,8/12/2009,2,3,2,8,Australia
197,Janice,Daugherty,Female,Single,TECH,2,1,2,4425,15986,35,Permannent,14,8/13/2009,2,5,3,6,Australia
198,Melody,Clements,Male,Divorced,TECH,2,1,3,5265,16439,42,Permannent,14,8/14/2009,3,5,3,5,Australia
199,Evan,Howe,Male,Married,TECH,2,1,3,6553,7259,38,Permannent,14,8/15/2009,4,3,3,1,Australia
200,Terrance,Rowe,Male,Married,TECH,2,1,4,6261,4185,38,Permannent,14,8/16/2009,4,3,1,7,Australia
201,Stephanie,Nunez,Female,Married,TECH,2,1,1,4298,9679,27,Permannent,14,8/17/2009,3,1,3,2,Australia
202,Jimmy,Wiggins,Male,Divorced,TECH,2,1,4,6804,23793,49,Permannent,14,8/18/2009,4,0,3,7,Australia
203,Sonia,Parks,Female,Divorced,TECH,1,1,3,3815,5972,34,Permannent,14,8/19/2009,4,4,4,5,Australia
204,Curtis,Zamora,Male,Married,TECH,2,1,4,2741,16523,40,Permannent,14,8/20/2009,3,2,4,7,Australia
205,Tracie,Baker,Female,Married,TECH,2,1,1,6673,11354,38,Permannent,14,8/21/2009,2,2,3,1,Australia
206,Eugene,Richmond,Female,Married,Sales,3,1,4,7639,24525,29,Permannent,14,8/22/2009,2,3,2,10,Australia
207,Lonnie,Bernard,Female,Divorced,TECH,1,1,2,2328,12392,22,Permannent,14,8/23/2009,4,2,2,4,Australia
208,Alan,Shaffer,Male,Single,TECH,1,1,4,2153,7703,36,Permannent,14,8/24/2009,2,2,3,8,Australia
209,Grace,Mckenzie,Male,Married,TECH,2,1,4,4876,14242,40,Permannent,14,8/25/2009,4,5,1,3,Australia
210,Logan,Obrien,Female,Divorced,TECH,3,1,1,9396,12368,46,Permannent,14,8/26/2009,4,3,3,4,Australia
211,Katrina,Duke,Female,Married,Sales,3,1,4,10400,25812,32,Permannent,14,8/27/2009,4,2,2,14,Australia
212,Katherine,Bolton,Male,Single,TECH,3,1,3,8474,20925,30,Permannent,14,8/28/2009,3,2,3,11,Australia
